Value,Timestamp,MetricId,Unit,Description,Entity,IntervalSecs
43,12/26/16 18:00,net.usage.average,KBps,Network utilization (combined transmit-rates and receive-rates) during the interval,php5_server,86400
36,12/25/16 18:00,net.usage.average,KBps,Network utilization (combined transmit-rates and receive-rates) during the interval,php5_server,86400
41,12/24/16 18:00,net.usage.average,KBps,Network utilization (combined transmit-rates and receive-rates) during the interval,php5_server,86400
43,12/23/16 18:00,net.usage.average,KBps,Network utilization (combined transmit-rates and receive-rates) during the interval,php5_server,86400
38,12/22/16 18:00,net.usage.average,KBps,Network utilization (combined transmit-rates and receive-rates) during the interval,php5_server,86400
48,12/21/16 18:00,net.usage.average,KBps,Network utilization (combined transmit-rates and receive-rates) during the interval,php5_server,86400
52,12/20/16 18:00,net.usage.average,KBps,Network utilization (combined transmit-rates and receive-rates) during the interval,php5_server,86400
34,12/19/16 18:00,net.usage.average,KBps,Network utilization (combined transmit-rates and receive-rates) during the interval,php5_server,86400
39,12/18/16 18:00,net.usage.average,KBps,Network utilization (combined transmit-rates and receive-rates) during the interval,php5_server,86400
23,12/17/16 18:00,net.usage.average,KBps,Network utilization (combined transmit-rates and receive-rates) during the interval,php5_server,86400
22,12/16/16 18:00,net.usage.average,KBps,Network utilization (combined transmit-rates and receive-rates) during the interval,php5_server,86400
30,12/15/16 18:00,net.usage.average,KBps,Network utilization (combined transmit-rates and receive-rates) during the interval,php5_server,86400
38,12/14/16 18:00,net.usage.average,KBps,Network utilization (combined transmit-rates and receive-rates) during the interval,php5_server,86400
40,12/13/16 18:00,net.usage.average,KBps,Network utilization (combined transmit-rates and receive-rates) during the interval,php5_server,86400
58,12/12/16 18:00,net.usage.average,KBps,Network utilization (combined transmit-rates and receive-rates) during the interval,php5_server,86400
31,12/11/16 18:00,net.usage.average,KBps,Network utilization (combined transmit-rates and receive-rates) during the interval,php5_server,86400
